"ID","Site","y","x.2","Geno","GLS","Obs","s1.2","STG3","H","W","FLN","FRN","FRL","INH","LFN","DLN","AvgPCD","type","TCO","notes","date"
"p123","SO.1.2","929","-23","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p124","SO.1.2","938","-21","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p125","SO.1.2","940","-24.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p126","SO.1.2","929.5","-5.38","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p127","SO.1.2","934","-39","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p128","SO.1.2","938","-40","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p129","SO.1.2","927","-56","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p130","SO.1.2","948","-85.6","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p131","SO.1.2","952","-94.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p132","SO.1.2","905","-67.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p133","SO.1.2","909","-143.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p134","SO.1.2","921","-144","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p135","SO.1.2","943","-163","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p136","SO.1.2","981","-11.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p137","SO.1.2","975","-29","1",111,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p138","SO.1.2","984","-44","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p139","SO.1.2","981","-51.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p140","SO.1.2","1012","-81","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p141","SO.1.2","985","-90.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p142","SO.1.2","981","-90","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p143","SO.1.2","974","-84.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p144","SO.1.2","963","-89.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p145","SO.1.2","993","-132.7","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p146","SO.1.2","965","-133","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p147","SO.1.2","981","-161","",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p148","SO.1","1512","-38","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p149","SO.1","1515","-34","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p150","SO.1","1520","-32","",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p151","SO.1","1535","-118","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p152","SO.1","1567","-235","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p153","SO.1","1581","-244","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p154","SO.1","1597","-246","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p155","SO.1","1607","-236","1",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p156","SO.1","1629","-242","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p157","SO.1","1635","-261","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p158","SO.1","1654","-216","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p159","SO.1","1630","-246","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p160","SO.1","1683","-252","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p161","SO.1","1620","-266","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p162","SO.1","1696","-200","",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p163","SO.1","1706","-228.4","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p164","SO.1","1706","-208.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p165","SO.1","1729","-205","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p166","SO.1","1780","-247","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p167","SO.1","1830","-238","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p168","SO.1","1880","-229.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p169","SO.1","1839","-224","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p170","SO.1","2104","113","1",113,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p171","SO.1","2200","154","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p172","SO.1","2118","243","1",114,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p173","SO.1","2205","156","1",115,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p174","SO.1","2205","187","1",116,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p175","SO.1","2220.5","203","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p176","SO.1","2170","261.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p177","SO.1","2195","257","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p178","SO.1","2455","215","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p179","SO.1","2468","215","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p180","SO.1","2504.5","259","",117,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","need geno",""
"p181","SO.1","2585.5","212","",118,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","need geno",""
"p182","SO.1","2644.5","193","",120,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","need geno",""
"p183","SO.1","2697.5","243","",119,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","need geno",""
"p184","SO.1","2720","199","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p185","SO.1","2737","207","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p186","SO.1","2760.5","171","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p187","SO.1","2770.5","213","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p188","SO.1","2781","214","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p189","SO.1","2789","213","1",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p190","SO.1","2800","213","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p191","SO.1","2800","247","",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p192","SO.1","2820","206","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p193","SO.1","2840.5","230","1",NA,"","FO.FO","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p194","SO.1","2849","251","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p195","SO.1","2869","248","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p196","SO.1","2887","271","",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p197","SO.1","2940","251","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p198","SO.1","2962","265","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p199","SO.1","2973.5","271","1",121,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p200","SO.1","2985","283","1",122,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p201","SO.2.1","","","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p202","SO.2.1","332","0","1",123,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p203","SO.2.1","336","-7.4","1",124,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p204","SO.2.1","320","-69.4","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p205","SO.2.1","327","-106.4","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p206","SO.2.1","327","-110","1",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p207","SO.2.1","337","-139","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p208","SO.2.1","336.8","-150.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p209","SO.2.1","342","-145","",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p210","SO.2.1","342","-145.4","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p211","SO.2.1","332","-139.8","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p212","SO.2.1","303","-145","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p213","SO.2.1","329","-161.3","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p214","SO.2.1","300","-112.8","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p215","SO.2.1","335","-166.2","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p216","SO.2.1","348.4","-166.1","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p217","SO.2.1","353","-177","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p218","SO.2.1","357","-157","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p219","SO.2.1","359.8","-159.5","1",0,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p220","SO.2.1","343","-183.4","1",126,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p221","SO.2.1","343.4","-191.7","1",127,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p222","SO.2.1","343.4","-196.8","1",128,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p223","SO.2.1","366","-181.2","1",129,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p224","SO.2.1","368","-179.1","1",0,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p225","SO.2.1","360","-190","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p226","SO.2.1","360","-151","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p227","SO.2.1","367","-157.5","1",130,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p228","SO.2.1","394","-143.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p229","SO.2.1","385","-136.9","1",131,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p230","SO.2.1","365","-125.7","1",132,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p231","SO.2.1","368","-129.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p232","SO.2.1","387","-123","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p233","SO.2","1138","-44","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p234","SO.2","1370","-60","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p235","SO.2","1482","158.5","",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p236","SO.2","1501","143","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p237","SO.2","1508","155","",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p238","SO.2","1508","114","1",133,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p239","SO.2","1515","50","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p240","SO.2","1535","74","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p241","SO.2","1578","54","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p242","SO.2","1530","200","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p243","SO.2","1569","140.4","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p244","SO.2","1600","198","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p245","SO.2","1604.5","200","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p246","SO.2","1636.5","2","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p247","SO.2","1636.5","124","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p248","SO.2","1638","214.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p249","SO.2","1643","202.5","1",134,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p250","SO.2","1654","206","1",135,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p251","SO.2","1694","-36","",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p252","SO.2","1691","9.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p253","SO.2","1697","16.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p254","SO.2","1710","86","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p255","SO.2","1713","28","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p256","SO.2","1731","78","1",136,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p257","SO.2","1728","-7.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p258","SO.2","1710.5","197.5","1",137,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p259","SO.2","1725","205.5","1",138,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p260","SO.2","1721","95.5","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p261","SO.2","1747.8","-2","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p262","SO.2","1756","16","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p263","SO.2","1792","-4.5","1",139,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p264","SO.2","1812","9","1",140,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p265","SO.2","1872","-50","",141,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","need geno",""
"p266","SO.2","1842","140","",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p267","SO.2","1895","234","1",142,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p268","SO.2","1894","5","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p269","SO.2","1886","9","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p270","SO.2","1903","29","1",143,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p271","SO.2","1924","1.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p272","SO.2","1936","-8","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p273","SO.2","1951","-32","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p274","SO.2","2113","13","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p275","SO.2","2337","69","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p276","SO.2","2385","-11","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p277","SO.2","2390","-4.5","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p278","SO.2","2400","-5","1",144,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p279","SO.2","2395","0","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p280","SO.2","2403","139.5","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p281","SO.2","2374","17","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p282","SO.2","2386","29.5","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p283","SO.2","2390","11.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p284","SO.2","2398","19","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p285","SO.2","2398","22","",145,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","need geno",""
"p286","SO.2","2401","56.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p287","SO.2","2405","48","",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p288","SO.2","2416.8","6.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p289","SO.2","2420","18","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p290","SO.2","2406","30.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p291","SO.2","2412","32","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p292","SO.2","2419","47.5","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p293","SO.2","2419","43.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p294","SO.2","2437","16","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p295","SO.2","2435","37","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p296","SO.2","2482","0.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p297","SO.2","2504","2.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p298","SO.2","2505","0","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p299","SO.2","2500","27","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p300","SO.2","2532","16","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p301","SO.2","2535","32.5","1",146,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p302","SO.2","2530","79","1",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p303","SO.2","2535","-12","1",147,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p304","SO.2","2535","-38","1",148,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p305","SO.2","2545","-8","",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p306","SO.2","2549","-23","",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p307","SO.2","2548","-42","1",151,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p308","SO.2","2559","62","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p309","SO.2","2557","125.5","1",149,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p310","SO.2","2564","126.5","1",150,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p311","SO.2","2545","14","1",NA,"","B.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p312","SO.2","2550","4","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p313","SO.2","2583","90","",NA,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p314","SO.2","2633.6","17","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p315","SO.2","2561.8","1.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p316","SO.2","2567","1.5","1",152,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p317","SO.2","2570","-26","",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p318","SO.2","2582","-11","",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p319","SO.2","2559","63","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p320","SO.2","2646","10","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p321","SO.2","2659","52","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p322","SO.2","2693","2.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p323","SO.2","2696","26","",NA,"","X.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p324","SO.2","2601","-67.5","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p325","SO.2","2626","-36.5","1",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p326","TWM.1","264","249","1",153,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p327","TWM.1","328.4","6.6","",NA,"","FO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p328","TWM.1","377","249","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p329","TWM.1","408.8","236","1",154,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p330","TWM.1","409","236","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p331","TWM.1","444","229","1",NA,"","FS.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p332","TWM.1","463","213.5","",NA,"","R.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
"p333","TWM.1","376","207.5","1",155,"","SO.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",""
