"ID","Site","TRQ","Geno","GLS","SLA","Obs","Stg","FLN","FRN","INH","PL1","PL2","Nec","TCO","LFN","DLN","AvgPCD","herbType","y","x","L.R","date"
"p140","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"21",0,0,"","1012","81","L","6/20/24"
"p141","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","985","90.5","L","6/20/24"
"p142","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","981","90","L","6/20/24"
"p143","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","974","84.5","L","6/20/24"
"p144","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"24",0,0,"","963","89.5","L","6/20/24"
"p145","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"24",0,0,"","993","132.7","L","6/20/24"
"p146","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","965","133","L","6/20/24"
"p147","SO","1.2",NA,NA,NA,"KM","FS",5,7,"2.9",NA,NA,0,0,"45",0,0,"","981","161","L","6/20/24"
"p148","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","1512","38","L","6/20/24"
"p149","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","1515","34","L","6/20/24"
"p150","SO","1",NA,NA,NA,"MS","B",4,0,"0.7",NA,NA,0,0,"15",0,0,"","1520","32","L","6/20/24"
"p151","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","1535","118","L","6/20/24"
"p152","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","1567","235","L","6/20/24"
"p153","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"30",1,5,"chewing","1581","244","L","6/20/24"
"p154","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","1597","246","L","6/20/24"
"p155","SO","1",1,NA,NA,"MS","FO",3,0,"0.6",0.2,0.5,0,0,"33",0,0,"","1607","236","L","6/20/24"
"p156","SO","1",1,NA,NA,"MS","FS",1,4,"4.3",0.3,0.8,0,0,"23",0,0,"","1629","242","L","6/20/24"
"p157","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","1635","261","L","6/20/24"
"p158","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"18",1,5,"chewing","1654","216","L","6/20/24"
"p159","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","1630","246","L","6/20/24"
"p160","SO","1",NA,NA,NA,"CR","SO",NA,7,"4.9",NA,NA,NA,NA,"17",1,5,"chewing","1683","252","L","6/20/24"
"p161","SO","1",1,NA,NA,"MS","FS",2,3,"2.8",0.5,0.7,0,0,"29",0,0,"","1620","266","L","6/20/24"
"p162","SO","1",NA,NA,NA,"CR","FS",3,5,"4.8",NA,NA,0,0,"15",1,5,"","1696","200","L","6/20/24"
"p163","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","1706","228.4","L","6/20/24"
"p164","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","1706","208.5","L","6/20/24"
"p165","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","1729","205","L","6/20/24"
"p166","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","1780","247","L","6/20/24"
"p167","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"29",0,0,"","1830","238","L","6/20/24"
"p168","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"13",4,20,"chewing","1880","229.5","L","6/20/24"
"p169","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","1839","224","L","6/20/24"
"p170","SO","1",1,113,1,"CR","R",NA,NA,"",NA,NA,NA,NA,"31",3,5,"chewing","2104","113","R","6/20/24"
"p171","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"27",7,5,"chewing","2200","154","R","6/20/24"
"p172","SO","1",1,114,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"28",2,5,"window","2118","243","R","6/20/24"
"p173","SO","1",1,115,1,"MS","FS",19,16,"2.27",0.3,0.5,NA,NA,"42",0,0,"","2205","156","R","6/20/24"
"p174","SO","1",1,116,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"23",5,15,"chewing","2205","187","R","6/20/24"
"p175","SO","1",1,NA,1,"MS","R",NA,NA,"",NA,NA,NA,NA,"26",0,0,"","2220.5","203","R","6/20/24"
"p176","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"57",0,0,"","2170","261.5","R","6/20/24"
"p177","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","2195","257","R","6/20/24"
"p178","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"9",1,5,"chewing","2455","215","R","6/20/24"
"p179","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"15",6,5,"window","2468","215","R","6/20/24"
"p180","SO","1",NA,117,1,"CR","FS",85,31,"13,4",0.2,0.5,0,1,"115",25,30,"chewing","2504.5","259","R","6/20/24"
"p181","SO","1",NA,118,NA,"MS","FS",7,17,"11.5",NA,NA,0,0,"30",8,20,"chewing; window","2585.5","212","R","6/20/24"
"p182","SO","1",NA,120,1,"MS","FS",49,5,"2.5",0.3,0.7,0,1,"31",12,10,"chewing; window","2644.5","193","R","6/20/24"
"p183","SO","1",NA,119,NA,"CR","FS",19,77,"9",NA,NA,0,1,"120",27,10,"chewing; window","2697.5","243","R","6/20/24"
"p184","SO","1",NA,NA,NA,"CR","SO",0,8,"4.4",NA,NA,NA,NA,"14",0,0,"","2720","199","R","6/20/24"
"p185","SO","1",1,NA,NA,"CR","FS",5,9,"8",0.2,0.4,0,0,"17",2,5,"","2737","207","R","6/20/24"
"p186","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"14",4,10,"chewing","2760.5","171","R","6/20/24"
"p187","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"27",2,5,"chewing","2770.5","213","R","6/20/24"
"p188","SO","1",1,NA,NA,"MS","FS",15,9,"7.5",NA,NA,0,0,"18",4,20,"chewing","2781","214","R","6/20/24"
"p189","SO","1",1,NA,NA,"CR","FO",28,NA,"1.8",0.2,0.5,0,1,"39",7,30,"chewing","2789","213","R","6/20/24"
"p190","SO","1",1,NA,NA,"CR","SO",0,21,"10.3",NA,NA,NA,NA,"30",0,0,"","2800","213","R","6/20/24"
"p191","SO","1",NA,NA,NA,"CR","FO",13,NA,"0.4",0.05,0.35,0,1,"23",8,5,"chewing","2800","247","R","6/20/24"
"p192","SO","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"chewing","2820","206","R","6/20/24"
"p193","SO","1",1,NA,NA,"MS","FO",20,NA,"13.1",0.2,0.7,0,1,"47",15,50,"chewing","2840.5","230","R","6/20/24"
"p194","SO","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","2849","251","R","6/20/24"
"p195","SO","1",1,NA,NA,"MS","SO",NA,9,"1.7",NA,NA,NA,NA,"14",5,20,"chewing","2869","248","R","6/20/24"
"p196","SO","1",NA,NA,NA,"MS","B",12,0,"5.4",NA,NA,0,1,"23",9,20,"chewing","2887","271","R","6/20/24"
"p197","SO","1",NA,NA,NA,"CR","SO",NA,5,"2.8",NA,NA,NA,1,"15",15,90,"chewing","2940","251","R","6/20/24"
"p198","SO","1",NA,NA,NA,"CR","SO",NA,9,"6.8",NA,NA,NA,NA,"20",2,10,"chewing","2962","265","R","6/20/24"
"p199","SO","1",1,121,NA,"CR","FS",2,18,"10.7",0.05,0.2,NA,NA,"26",3,5,"chewing","2973.5","271","R","6/20/24"
"p200","SO","1",1,122,NA,"CR","SO",NA,41,"39.9",NA,NA,NA,NA,"22",2,5,"chewing; window","2985","283","R","6/20/24"
"p201","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"8",NA,NA,"",NA,NA,"L","6/21/24"
"p202","SO","2.1",1,123,1,"KM","FS",12,48,"382",3,5,0,0,"124",11,40,"chewing","332","0","L","6/21/24"
"p203","SO","2.1",1,124,1,"KM","FS",6,23,"214",NA,NA,0,0,"81",5,5,"chewing","336","7.4","L","6/21/24"
"p204","SO","2.1",1,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"20",3,5,"window","320","69.4","L","6/21/24"
"p205","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"23",3,5,"chewing","327","106.4","L","6/21/24"
"p206","SO","2.1",1,NA,NA,"KM","B",0,0,NA,NA,NA,0,0,"38",4,5,"chewing; window","327","110","L","6/21/24"
"p207","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",1,5,"window","337","139","L","6/21/24"
"p208","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","336.8","150.5","L","6/21/24"
"p209","SO","2.1",NA,NA,NA,"KM","FS",6,14,"119",3,7,0,0,"22",7,25,"chewing","342","145","L","6/21/24"
"p210","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"20",0,0,"","342","145.4","L","6/21/24"
"p211","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"31",0,0,"","332","139.8","L","6/21/24"
"p212","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"20",0,0,"","303","145","L","6/21/24"
"p213","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"22",5,5,"","329","161.3","L","6/21/24"
"p214","SO","2.1",1,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"27",0,0,"","300","112.8","L","6/21/24"
"p215","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","335","166.2","L","6/21/24"
"p216","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"31",3,5,"chewing","348.4","166.1","L","6/21/24"
"p217","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",1,5,"chewing","353","177","L","6/21/24"
"p218","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","357","157","L","6/21/24"
"p219","SO","2.1",1,0,0,"KM","FS",4,7,"65",3,7,0,0,"62",10,40,"","359.8","159.5","L","6/21/24"
"p220","SO","2.1",1,126,1,"KM","FS",6,9,"72",NA,NA,0,0,"62",3,5,"chewing","343","183.4","L","6/21/24"
"p221","SO","2.1",1,127,1,"KM","FS",5,5,"50",NA,NA,NA,NA,"23",0,0,"","343.4","191.7","L","6/21/24"
"p222","SO","2.1",1,128,NA,"KM","FS",7,3,"14",NA,NA,0,0,"62",0,0,"","343.4","196.8","L","6/21/24"
"p223","SO","2.1",1,129,1,"KM","FS",3,6,"73",NA,NA,0,1,"42",3,15,"chewing; window","366","181.2","L","6/21/24"
"p224","SO","2.1",1,0,0,"KM","R",NA,NA,"",NA,NA,NA,NA,"19",3,20,"chewing","368","179.1","L","6/21/24"
"p225","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","360","190","L","6/21/24"
"p226","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","360","151","L","6/21/24"
"p227","SO","2.1",1,130,0,"KM","FS",3,5,"86",2,7,0,0,"24",1,20,"chewing","367","157.5","L","6/21/24"
"p228","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","394","143.5","L","6/21/24"
"p229","SO","2.1",1,131,1,"KM","FS",4,9,"102",NA,NA,NA,NA,"47",7,5,"chewing","385","136.9","L","6/21/24"
"p230","SO","2.1",1,132,0,"CR","FS",3,5,"70",NA,NA,0,0,"17",0,0,"","365","125.7","L","6/21/24"
"p231","SO","2.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",1,5,"chewing","368","129.5","L","6/21/24"
"p232","SO","2.1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","387","123","L","6/21/24"
"p233","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"3",4,5,"chewing","1138","44","L","6/21/24"
"p234","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","1370","60","L","6/21/24"
"p235","SO","2",NA,NA,NA,"CR","B",NA,NA,"",NA,NA,NA,1,"12",5,60,"chewing","1482","158.5","R","6/21/24"
"p236","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"18",2,10,"window; maybe mining","1501","143","R","6/21/24"
"p237","SO","2",NA,NA,NA,"CR","B",NA,NA,"",NA,NA,NA,1,"34",22,50,"chewing","1508","155","R","6/21/24"
"p238","SO","2",1,133,NA,"CR","FS",6,5,"28",3,5,0,0,"16",3,5,"chewing","1508","114","R","6/21/24"
"p239","SO","2",1,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"51",4,5,"window","1515","50","R","6/21/24"
"p240","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"11",1,5,"mining","1535","74","R","6/21/24"
"p241","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","1578","54","R","6/21/24"
"p242","SO","2",NA,NA,NA,"MS","SO",0,3,"32",NA,NA,NA,1,"67",14,80,"chewing","1530","21.5","R","6/21/24"
"p243","SO","2",1,NA,NA,"CR","FS",18,25,"90",2,5,NA,NA,"28",16,15,"chewing","1569","140.4","R","6/21/24"
"p244","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","1600","198","R","6/21/24"
"p245","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"26",2,5,"chewing","1604.5","200","R","6/21/24"
"p246","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"14",3,10,"chewing","1636.5","2","R","6/21/24"
"p247","SO","2",1,NA,NA,"CR","FS",11,4,"37",3,6,0,0,"17",5,20,"window","1636.5","124","R","6/21/24"
"p248","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"28",15,15,"chewing; window","1638","214.5","R","6/21/24"
"p249","SO","2",1,134,1,"MS","FS",33,5,"33",3,8,0,1,"76",14,15,"chewing; window","1643","202.5","R","6/21/24"
"p250","SO","2",1,135,NA,"MS","FS",4,4,"59",NA,NA,0,0,"32",0,0,"","1654","206","R","6/21/24"
"p251","SO","2",NA,NA,NA,"CR","B",NA,NA,"",NA,NA,NA,1,"28",10,10,"chewing; window","1694","36","L","6/21/24"
"p252","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",10,10,"chewing","1691","9.5","R","6/21/24"
"p253","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","1697","16.5","R","6/21/24"
"p254","SO","2",1,NA,NA,"CR","SO",NA,6,"14",NA,NA,0,1,"36",1,5,"window","1710","86","R","6/21/24"
"p255","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","1713","28","R","6/21/24"
"p256","SO","2",1,136,NA,"CR","SO",NA,8,"62",NA,NA,0,0,"21",3,5,"window","1731","78","R","6/21/24"
"p257","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","1728","7.5","L","6/21/24"
"p258","SO","2",1,137,1,"MS","B",NA,NA,"",NA,NA,NA,1,"29",21,50,"chewing; window","1710.5","197.5","R","6/21/24"
"p259","SO","2",1,138,NA,"MS","FS",6,6,"32",NA,NA,0,0,"30",0,0,"","1725","205.5","R","6/21/24"
"p260","SO","2",1,NA,1,"CR","R",NA,NA,"",NA,NA,NA,1,"23",3,5,"chewing","1721","95.5","R","6/21/24"
"p261","SO","2",1,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"15",2,5,"window","1747.8","2","L","6/21/24"
"p262","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","1756","16","R","6/21/24"
"p263","SO","2",1,139,NA,"CR","SO",NA,8,"28",NA,NA,0,1,"20",8,10,"chewing; window","1792","4.5","L","6/21/24"
"p264","SO","2",1,140,NA,"CR","SO",NA,6,"42",NA,NA,0,NA,"22",3,5,"window","1812","9","R","6/21/24"
"p265","SO","2",NA,141,NA,"CR","SO",NA,8,"80",NA,NA,0,NA,"24",1,5,"window","1872","50","L","6/21/24"
"p266","SO","2",NA,NA,NA,"MS","FS",5,4,"23",NA,NA,0,NA,"28",0,0,"","1842","140","R","6/21/24"
"p267","SO","2",1,142,NA,"MS","FO",22,NA,"15",1,4,NA,1,"101",8,40,"chewing; window","1895","234","R","6/21/24"
"p268","SO","2",NA,NA,NA,"CR","SO",NA,1,"5",NA,NA,NA,1,"21",5,5,"window","1894","5","R","6/21/24"
"p269","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"13",1,5,"window","1886","9","R","6/21/24"
"p270","SO","2",1,143,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","1903","29","R","6/21/24"
"p271","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","1924","1.5","R","6/21/24"
"p272","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"22",0,0,"","1936","8","L","6/21/24"
"p273","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"13",0,0,"","1951","32","L","6/21/24"
"p274","SO","2",1,NA,NA,"MS","FS",11,6,"23",NA,NA,0,0,"24",6,5,"window","2113","13","R","6/21/24"
"p275","SO","2",1,NA,NA,"CR","FS",2,3,"6",3,6,0,0,"29",1,5,"window","2337","69","R","6/21/24"
"p276","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,1,"19",3,5,"chewing","2385","11","L","6/21/24"
"p277","SO","2",1,NA,NA,"MS","SO",NA,9,"120",NA,NA,NA,NA,"29",0,0,"","2390","4.5","L","6/21/24"
"p278","SO","2",1,144,NA,"MS","FS",9,7,"71",NA,NA,0,0,"37",2,5,"chewing","2400","5","L","6/21/24"
"p279","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2395","0","R","6/21/24"
"p280","SO","2",1,NA,NA,"CR","SO",NA,5,"21",NA,NA,NA,1,"18",9,10,"window","2403","139.5","R","6/21/24"
"p281","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",5,80,"chewing; window","2374","17","R","6/21/24"
"p282","SO","2",NA,NA,NA,"CR","SO",NA,6,"36",NA,NA,0,1,"21",4,75,"chewing; window","2386","29.5","R","6/21/24"
"p283","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",1,5,"chewing","2390","11.5","R","6/21/24"
"p284","SO","2",1,NA,1,"CR","SO",NA,3,"36",NA,NA,NA,1,"38",6,50,"chewing; window","2398","19","R","6/21/24"
"p285","SO","2",NA,145,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"20",8,15,"chewing; window","2398","22","R","6/21/24"
"p286","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"17",10,10,"chewing","2401","56.5","R","6/21/24"
"p287","SO","2",NA,NA,NA,"CR","B",NA,NA,"",NA,NA,NA,NA,"15",2,5,"chewing","2405","48","R","6/21/24"
"p288","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","2416.8","6.5","R","6/21/24"
"p289","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"4",0,0,"","2420","18","R","6/21/24"
"p290","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",1,5,"window","2406","30.5","R","6/21/24"
"p291","SO","2",1,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,1,"31",3,5,"chewing; window","2412","32","R","6/21/24"
"p292","SO","2",1,NA,NA,"CR","SO",NA,7,"52",NA,NA,0,NA,"19",4,5,"chewing","2419","47.5","R","6/21/24"
"p293","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","2419","43.5","R","6/21/24"
"p294","SO","2",NA,NA,NA,"MS","SO",50,3,"19",NA,NA,NA,NA,"29",3,5,"window","2437","16","R","6/21/24"
"p295","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","2435","37","R","6/21/24"
"p296","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"22",0,0,"","2482","0.5","R","6/21/24"
"p297","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"13",2,5,"chewing","2504","2.5","R","6/21/24"
"p298","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"9",2,5,"chewing","2505","0","L","6/21/24"
"p299","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","2500","27","R","6/21/24"
"p300","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"13",0,0,"","2532","16","R","6/21/24"
